UTC Time,Altitude,Azimuth
11-3-2021 00:00:00.000,-90,0
11-3-2021 00:00:01.000,-80,0
11-3-2021 00:00:02.000,-70,0
11-3-2021 00:00:03.000,-60,0
11-3-2021 00:00:04.000,-50,0
11-3-2021 00:00:05.000,-40,0
11-3-2021 00:00:06.000,-30,0
11-3-2021 00:00:07.000,-20,0
11-3-2021 00:00:08.000,-10,0
11-3-2021 00:00:09.000,0,0
11-3-2021 00:00:10.000,10,0
11-3-2021 00:00:11.000,20,0
11-3-2021 00:00:12.000,30,0
11-3-2021 00:00:13.000,40,0
11-3-2021 00:00:14.000,50,0
11-3-2021 00:00:15.000,60,0
11-3-2021 00:00:16.000,70,0
11-3-2021 00:00:17.000,80,0
11-3-2021 00:00:18.000,90,0
